nodes,avg_rounds
500,6.00
600,6.00
700,6.00
800,6.20
900,6.60
1000,6.80
1100,6.80
1200,6.80
1300,6.90
1400,7.00
1500,7.00
1600,7.00
1700,7.00
1800,7.00
1900,7.00
2000,7.00
2100,7.10
2200,7.20
2300,7.10
2400,7.00
2500,7.10
2600,7.20
2700,7.10
2800,7.40
2900,7.40
3000,7.40
3100,7.00
3200,7.20
3300,7.20
3400,7.70
3500,7.80
3600,7.50
3700,7.60
3800,7.40
3900,7.90
4000,7.70
4100,7.60
4200,7.80
4300,8.00
4400,8.00
4500,8.00
4600,7.90
4700,8.00
4800,8.00
4900,8.00
5000,8.00
5100,8.00
5200,8.00
5300,8.00
5400,8.00
5500,8.00
5600,8.00
5700,8.00
5800,8.00
5900,8.00
6000,8.00
6100,8.00
6200,8.00
6300,8.00
6400,8.00
6500,8.00
6600,8.00
6700,8.00
6800,8.00
6900,8.00
7000,8.33
7100,8.00
7200,8.00
7300,8.00
7400,8.00
7500,8.00
7600,8.00
7700,8.00
7800,8.00
7900,8.00
8000,8.00
10000,9.00
13000,9.00
15000,9.00